2023-03-25 15:12:26,231 | INFO | model.py: df is read in main
2023-03-25 15:12:26,232 | INFO | see_df.py: running see_df
2023-03-25 15:12:26,232 | INFO | see_df.py: data is read in see_df
2023-03-25 15:12:26,233 | INFO | see_df.py: data is visualised in see_df
2023-03-25 15:12:26,233 | INFO | model.py: see_df is run successfully
2023-03-25 15:12:26,233 | INFO | model.py: main running
2023-03-25 15:12:26,233 | INFO | model.py: starting training function
2023-03-25 15:12:26,234 | INFO | train.py: training started
2023-03-25 15:12:26,234 | INFO | train.py: splitting data
2023-03-25 15:12:26,241 | INFO | train.py: data is successfully split
2023-03-25 15:12:26,241 | INFO | train.py: starting model training
2023-03-25 15:12:26,241 | INFO | train.py: model_tree running
2023-03-25 15:12:26,280 | INFO | train.py: model_tree id successfully finished
2023-03-25 15:12:26,281 | INFO | train.py: starting random forest model
2023-03-25 15:12:27,426 | INFO | train.py: rf model run successfully
2023-03-25 15:12:27,427 | INFO | train.py: starting logistic reg model
2023-03-25 15:12:27,550 | INFO | train.py: lr model run successfully
2023-03-25 15:12:27,551 | INFO | train.py: best model selected
2023-03-25 15:12:27,551 | INFO | train.py: successfully run training
2023-03-25 15:12:27,552 | INFO | model.py: training is finished
2023-03-25 15:12:27,552 | INFO | model.py: main file running
2023-03-25 15:12:27,552 | INFO | model.py: model testing started
2023-03-25 15:12:27,552 | INFO | test_model.py running
2023-03-25 15:12:27,552 | INFO | test_model.py successfully predicted in test file
2023-03-25 15:12:27,552 | INFO | test_model.py starting main file
2023-03-25 15:12:27,552 | INFO | model.py: program run successfully!
2023-03-25 15:12:27,552 | INFO | model.py: pickling model
2023-03-25 15:12:27,572 | INFO | model.py: pickling completed
2023-03-25 15:12:27,573 | INFO | model.py: now running main file
2023-03-25 15:12:27,573 | INFO | main_file.py: running test_model
2023-03-25 15:12:27,592 | INFO | main_file.py: successfully predicted in main file
2023-03-25 15:12:28,253 | WARNING | 
  [33m[1mWarning:[0m to view this Streamlit app on a browser, run it with the following
  command:

